material_id,material_name,material_type,strength_score,weight_capacity_kg,biodegradability_score,recyclability_percent,co2_emission_kg,cost_per_kg,water_resistance,food_safe,industry_usage,sustainability_rating
46,Bamboo Paper,Paper-Based,6.8,8.0,0.94,95.0,0.7,1.8,Low,True,Household,5.0
47,Silicone (Reusable),Polymer,9.0,15.0,0.0,0.0,3.5,8.0,High,True,Kitchenware,
48,Recycled Paper Pulp,Pulp-Based,5.2,5.0,0.96,100.0,0.4,1.0,Low,True,Eggs/Produce,5.0
49,Cotton Muslin Bag,Natural Fiber,7.0,10.0,0.99,100.0,0.8,2.8,Low,True,Bulk Foods,5.0
50,Reinforced Gummed Tape,Paper-Based,8.5,10.0,0.8,95.0,0.7,1.5,Medium,False,Logistics,5.0
51,Mycelium Leather,Natural Fiber,7.2,12.0,0.99,0.0,0.4,6.5,Medium,False,Luxury Fashion,5.0
52,Grape Skin Bio-Plastic,Plant-Based Polymer,6.5,8.0,0.85,30.0,0.8,3.2,High,True,Wine/Food,5.0
53,Recycled Cork Composite,Natural Fiber,5.8,5.0,0.92,80.0,0.5,2.8,High,False,Footwear,5.0
54,Palm Leaf Plate,Natural Fiber,4.2,2.0,1.0,0.0,0.2,1.1,Medium,True,Food Service,5.0
55,Recycled Nylon (Ocean Plastic),Recycled Plastic,9.2,35.0,0.05,100.0,1.4,4.0,High,False,Apparel,4.0
56,Algae-Based Ink,Natural Fiber,1.0,0.1,1.0,0.0,0.1,12.0,Low,True,Printing,5.0
57,Coffee Ground Composite,Bio-Composite,7.0,10.0,0.75,20.0,0.9,2.5,Medium,True,Housewares,4.0
58,Wheat Straw Pulp,Pulp-Based,5.5,6.0,0.96,95.0,0.4,1.2,Low,True,Food Service,5.0
59,Recycled Rubber (Tires),Recycled Plastic,9.5,80.0,0.02,100.0,1.8,0.9,High,False,Industrial,3.0
60,Orange Peel Fiber,Natural Fiber,4.8,3.0,0.98,0.0,0.5,3.5,Low,True,Textiles,5.0
61,Chitin (Shellfish Bio-film),Natural Fiber,6.2,4.0,1.0,0.0,0.3,5.5,Medium,True,Pharma,5.0
62,Recycled Tetrapak Board,Multi-Layer,7.5,18.0,0.35,75.0,1.1,1.5,High,False,Construction,3.0
63,Bio-Polypropylene (Tall Oil),Plant-Based Polymer,8.7,25.0,0.1,95.0,1.3,2.4,High,True,Medical,4.0
64,Recycled Cotton Felt,Natural Fiber,4.0,10.0,0.95,100.0,0.6,1.4,Low,False,Furniture Padding,5.0
65,Stone Paper (R-PET base),Mineral-Based,8.2,15.0,0.15,85.0,1.0,2.2,High,False,Stationery,4.0
66,Casein (Milk Protein) Film,Natural Fiber,3.5,1.0,1.0,0.0,0.8,4.5,Low,True,Edible Packaging,5.0
67,Recycled Polycarbonate,Recycled Plastic,9.4,45.0,0.0,100.0,1.9,3.2,High,False,Automotive,3.0
68,Liquid Wood (Arboform),Bio-Composite,9.0,30.0,0.8,60.0,0.9,3.8,High,False,Electronics,5.0
69,Recycled Copper Foil,Metal,6.0,5.0,0.0,100.0,1.5,8.5,High,False,High-Tech,4.0
70,Pinatex (Pineapple Leaf),Natural Fiber,7.8,15.0,0.9,0.0,0.5,7.0,Medium,False,Fashion,5.0
71,Biodegradable Bubble Wrap,Plant-Based Polymer,4.5,5.0,0.88,0.0,1.2,1.8,Medium,False,Logistics,4.0
72,Coir (Coconut) Pot,Natural Fiber,6.5,10.0,1.0,0.0,0.3,0.8,High,False,Horticulture,5.0
73,Recycled Glass Cullet,Glass,9.0,40.0,0.0,100.0,0.5,0.6,High,True,Construction,5.0
74,Corn Starch Loose Fill,Plant-Based Polymer,2.0,0.5,1.0,0.0,0.4,1.1,Low,True,Shipping,5.0
75,Recycled Carbon Fiber,Composite,9.9,120.0,0.0,40.0,3.5,15.0,High,False,Aerospace,
76,Felted Wool Insulator,Natural Fiber,5.0,12.0,1.0,100.0,1.0,4.5,Medium,True,Cold Chain,5.0
77,Bio-Butanol Resin,Plant-Based Polymer,8.3,22.0,0.6,0.0,1.6,3.0,High,False,Coatings,4.0
78,Banana Fiber Paper,Natural Fiber,6.4,7.0,0.97,100.0,0.3,2.1,Low,True,Gift Wrap,5.0
79,Recycled PVC (Flooring),Recycled Plastic,8.9,55.0,0.0,90.0,2.1,1.2,High,False,Infrastructure,
80,Rice Husk Ash Board,Bio-Composite,8.5,35.0,0.5,40.0,0.6,1.8,High,False,Building,4.0
81,Eco-Friendly Varnish,Plant-Based Polymer,1.5,0.1,0.9,0.0,0.7,5.0,High,True,Finishing,4.0
82,Recycled Jute Sacking,Natural Fiber,9.0,50.0,0.98,100.0,0.4,1.1,Medium,True,Heavy Cargo,5.0
83,Starch-Grafted PE,Plant-Based Polymer,7.5,15.0,0.45,60.0,1.7,1.9,High,True,Grocery,3.0
84,Recycled Plywood,Natural Fiber,8.8,100.0,0.85,80.0,0.8,0.7,Low,False,Crating,5.0
85,Agar-Agar Film,Natural Fiber,2.5,0.3,1.0,0.0,0.2,6.0,Low,True,Confectionery,5.0
86,Recycled PET Strapping,Recycled Plastic,9.3,70.0,0.1,100.0,1.0,1.4,High,False,Bundling,4.0
87,Soy-Based Adhesive,Plant-Based Polymer,4.0,5.0,0.95,0.0,0.5,2.5,Low,True,Binding,5.0
88,Recycled Silver Foil,Metal,5.5,3.0,0.0,100.0,1.2,25.0,High,True,Jewelry,4.0
89,Abaca (Manila Hemp),Natural Fiber,9.1,25.0,0.98,100.0,0.5,3.5,High,False,Marine/Paper,5.0
90,Recycled Polystyrene (EPS),Recycled Plastic,5.0,12.0,0.0,95.0,1.5,1.1,High,False,Insulation,3.0
91,Bamboo Charcoal Board,Bio-Composite,8.2,28.0,0.7,30.0,0.8,2.9,Medium,False,Air Purification,4.0
92,Recycled Wood Flour,Natural Fiber,6.7,15.0,0.9,100.0,0.4,0.8,Low,False,Additives,5.0
93,Bio-Succinic Acid Plastic,Plant-Based Polymer,8.0,20.0,0.75,50.0,1.2,3.4,High,True,Bottles,4.0
94,Recycled Lead Sheet,Metal,9.7,200.0,0.0,100.0,2.8,4.5,High,False,Shielding,
95,Sunflower Seed Hull Board,Bio-Composite,7.1,18.0,0.88,20.0,0.5,2.3,Medium,False,Panels,5.0
96,Recycled ABS (Electronics),Recycled Plastic,8.6,30.0,0.0,100.0,1.7,2.1,High,False,Consumer Tech,3.0
97,Bio-Ethylene (Sugarcane),Plant-Based Polymer,8.4,18.0,0.1,100.0,0.9,1.8,High,True,Personal Care,4.0
98,Recycled Cork Stopper,Natural Fiber,5.5,2.0,0.95,90.0,0.3,0.5,High,True,Beverage,5.0
99,Flax Fiber Composite,Natural Fiber,8.8,24.0,0.82,50.0,0.6,4.2,Medium,False,Automotive,5.0
100,Recycled Leather Fiber,Natural Fiber,7.4,10.0,0.7,40.0,1.2,5.5,Medium,False,Luxury Packing,3.0
